# a dictionary with poloidal field coils parameters
# {'NAME': (x center y center width along x width along y [m] 
#    current [MA] N turns)}
CS1, 0.074, 0.0, 0.016, 1.328, -0.05, 59 
CS2, 0.094, 0.0, 0.016, 1.328, -0.05, 59 
PF11, 0.144, 0.6, 0.078, 0.059, 0.004, 47 
PF21, 0.34, 0.645, 0.047, 0.07, 0.002, 53 
PF31, 0.884, 0.31, 0.055, 0.097, -0.011, 14 
PF12, 0.144, -0.6, 0.078, 0.059, 0.004, 47
PF22, 0.34, -0.645, 0.047, 0.07, 0.002, 53 
PF32, 0.884, -0.31, 0.055, 0.097, -0.011, 14
