Конец X	Конец Y	Конец Z	Начало X	Начало Y	Начало Z
105.7002	573.6782	0.0000	183.3999	573.6782	0.0000
105.7002	632.2781	0.0000	105.7002	573.6782	0.0000
183.3999	632.2781	0.0000	105.7002	632.2781	0.0000
183.3999	573.6782	0.0000	183.3999	632.2781	0.0000
235.6318	545.4216	0.0000	200.0000	546.5646	0.0000
261.0469	542.9916	0.0000	235.6318	545.4216	0.0000
307.5961	534.0795	0.0000	261.0469	542.9916	0.0000
354.9448	518.6840	0.0000	307.5961	534.0795	0.0000
400.5073	497.0470	0.0000	354.9448	518.6840	0.0000
405.9396	517.3207	0.0000	400.5073	497.0470	0.0000
405.9396	517.3207	0.0000	410.0930	516.2078	0.0000
410.0930	516.2078	0.0000	421.3515	558.2255	0.0000
418.4536	559.0021	0.0000	421.3515	558.2255	0.0000
424.9241	583.1503	0.0000	418.4536	559.0021	0.0000
485.9566	433.4422	0.0000	501.5659	491.6977	0.0000
487.3668	495.5024	0.0000	498.6255	537.5201	0.0000
498.6255	537.5201	0.0000	501.5231	536.7437	0.0000
501.5231	536.7437	0.0000	507.9937	560.8918	0.0000
501.5659	491.6977	0.0000	487.3668	495.5024	0.0000
507.9937	560.8918	0.0000	424.9241	583.1503	0.0000
510.0942	409.6512	0.0000	485.9566	433.4422	0.0000
515.1293	-404.9696	0.0000	546.6592	-368.2907	0.0000
530.7383	386.9290	0.0000	510.0942	409.6512	0.0000
546.6592	-368.2907	0.0000	575.4492	-328.5749	0.0000
548.7451	364.9937	0.0000	530.7383	386.9290	0.0000
570.9011	334.6905	0.0000	548.7451	364.9937	0.0000
575.4492	-328.5749	0.0000	597.3613	-292.8298	0.0000
596.8644	293.0692	0.0000	570.9011	334.6905	0.0000
597.3613	-292.8298	0.0000	611.2110	-266.8254	0.0000
611.2110	-266.8254	0.0000	623.8877	-239.8219	0.0000
611.4011	265.8017	0.0000	596.8644	293.0692	0.0000
623.8877	239.1782	0.0000	611.4011	265.8017	0.0000
623.8877	-239.8219	0.0000	624.5000	-239.8219	0.0000
624.5000	239.1782	0.0000	623.8877	239.1782	0.0000
624.5000	-239.8219	0.0000	630.0001	-226.9688	0.0000
630.0000	226.3250	0.0000	624.5000	239.1782	0.0000
630.0000	84.6781	0.0000	630.0000	226.3250	0.0000
630.0001	-85.3219	0.0000	652.9595	-85.3219	0.0000
630.0001	-226.9688	0.0000	630.0001	-85.3219	0.0000
652.7759	84.6781	0.0000	630.0000	84.6781	0.0000
652.9595	-85.3219	0.0000	656.9595	-80.3219	0.0000
656.9595	79.6781	0.0000	652.7759	84.6781	0.0000
656.9595	-80.3219	0.0000	668.9595	-80.3219	0.0000
668.9595	83.9782	0.0000	668.9595	79.6781	0.0000
668.9595	79.6781	0.0000	656.9595	79.6781	0.0000
668.9595	-80.3219	0.0000	668.9595	-84.6219	0.0000
668.9595	-84.6219	0.0000	693.9595	-84.6219	0.0000
693.9595	83.9782	0.0000	668.9595	83.9782	0.0000
693.9595	-84.6219	0.0000	693.9595	83.9782	0.0000
