Конец X	Конец Y	Конец Z	Начало X	Начало Y	Начало Z
105.7002	573.6783	0.0000	183.4004	573.6783	0.0000
105.7002	632.2781	0.0000	105.7002	573.6783	0.0000
183.4004	632.1077	0.0000	105.7002	632.2781	0.0000
183.4004	573.6783	0.0000	183.4004	632.1077	0.0000
200.0000	546.1783	0.0000	243.2529	544.8701	0.0000
243.2529	544.8701	0.0000	274.9729	540.9411	0.0000
274.9729	540.9411	0.0000	310.8076	533.2467	0.0000
398.6461	498.0734	0.0000	457.8555	525.6830	0.0000
401.8838	-496.9162	0.0000	432.6523	-477.6597	0.0000
425.1025	595.9219	0.0000	428.6951	588.2175	0.0000
428.6951	588.2175	0.0000	310.8083	533.2468	0.0000
430.1923	478.7069	0.0000	398.6461	498.0734	0.0000
432.6523	-477.6597	0.0000	481.3782	-438.3122	0.0000
447.7609	606.4849	0.0000	425.1025	595.9219	0.0000
456.1816	459.3538	0.0000	430.1923	478.7069	0.0000
457.8555	525.6830	0.0000	461.4477	517.9795	0.0000
461.4477	517.9795	0.0000	484.1043	528.5442	0.0000
481.3782	-438.3122	0.0000	539.6979	-376.9287	0.0000
484.1043	528.5442	0.0000	447.7609	606.4849	0.0000
488.0034	431.5380	0.0000	456.1846	459.3555	0.0000
515.0376	404.4245	0.0000	488.0029	431.5377	0.0000
539.6979	-376.9287	0.0000	589.2393	-306.7565	0.0000
540.9890	374.7084	0.0000	515.0376	404.4245	0.0000
565.4991	342.4620	0.0000	540.9890	374.7084	0.0000
587.6313	308.7733	0.0000	565.4991	342.4620	0.0000
589.2393	-306.7565	0.0000	624.5000	-239.8217	0.0000
606.6614	275.0782	0.0000	587.6313	308.7733	0.0000
623.8877	239.1783	0.0000	606.6614	275.0782	0.0000
624.5000	-239.8217	0.0000	630.0000	-226.9687	0.0000
624.5000	239.1783	0.0000	623.8877	239.1783	0.0000
629.9996	-145.2145	0.0000	695.3613	-133.3512	0.0000
630.0000	-226.9687	0.0000	629.9996	-145.2145	0.0000
630.0000	144.5709	0.0000	630.0000	226.3253	0.0000
630.0000	226.3253	0.0000	624.5000	239.1783	0.0000
695.3611	132.7080	0.0000	630.0000	144.5709	0.0000
695.3613	-133.3512	0.0000	695.3611	132.7080	0.0000
